X1,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
102122,US,"One of Oregon's finest values in Pinot Gris, this offers big, juicy flavors of luscious apple and pear, backed with punchy citrus. The ample acidity tastes of lemon and grapefruit, and a notable wash of minerality comes up in the finish. The blend includes small percentages of Gewürztraminer and Muscat.",NA,91,19,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Elk Cove 2015 Pinot Gris (Willamette Valley),Pinot Gris,Elk Cove
117699,Chile,"Oceanic and crisp smelling, with green apple, citrus and light oak on the nose. Has roundness and weight, but juiciness as well. Tastes a touch sweet and syrupy, with tropical fruit flavors. Chunky and a little sticky on the finish despite boasting a solid acid level.",NA,87,17,Aconcagua Valley,NA,NA,Michael Schachner,@wineschach,Arboleda 2010 Chardonnay (Aconcagua Valley),Chardonnay,Arboleda
17407,US,"A Merlot with small percentages of Cabernet Sauvignon and Petit Verdot, this wine is sanguine and fairly thin, its streaks of tobacco and cedar not entirely decipherable.",NA,84,35,California,Carneros,Napa-Sonoma,Virginie Boone,@vboone,Rombauer 2010 Merlot (Carneros),Merlot,Rombauer
65902,US,"Larger than life in terms of oak and tannin on the entry, this wine is elusive in fruit. Medium-bodied, it feels weighty and sharp-shouldered, while being clearly well-made and expressive of its appellation and variety. A cherry-vanilla note rings on the finish.",NA,88,52,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,RMH 2012 Pinot Noir (Russian River Valley),Pinot Noir,RMH
61445,France,"This lush wine will be too oaky for purists, but there is no denying the superb quality of the underlying fruit. It's full-bodied, soft and succulent in texture, with cassis fruit framed by ample cedar and vanilla. A blend of 60% Grenache and 40% Syrah. Drink now–2018.",Guy Louis,90,28,Rhône Valley,Côtes du Rhône,NA,Joe Czerwinski,@JoeCz,Tardieu-Laurent 2008 Guy Louis Red (Côtes du Rhône),Rhône-style Red Blend,Tardieu-Laurent
11825,US,"A distinctive mint character comes up in the aroma and carries through the flavors of this fruity and full-bodied wine. A firm texture, ripe cherry and plum flavors and good fresh acidity keep it lively.",Wiley Vineyard,88,48,California,Anderson Valley,NA,Jim Gordon,@gordone_cellars,Witching Stick 2012 Wiley Vineyard Pinot Noir (Anderson Valley),Pinot Noir,Witching Stick
129060,France,"This prestige cuvée from Collet, with its hand-blown bottle and blend mainly of Premier and Grand Cru vineyards, is elegant and stylish—just like the fashion industry it celebrates. It is balanced, soft and ripe, filled with pear and apricot fruits that are cut with steely acidity. The wine has touches of maturity and this bottling is ready to drink.",Esprit Couture Brut,93,125,Champagne,Champagne,NA,Roger Voss,@vossroger,Collet NV Esprit Couture Brut  (Champagne),Champagne Blend,Collet
84976,Chile,"Jammy red-berry aromas come with a hint of lemony oak. It feels meaty, with a rich texture for a $12 wine. Flavors of roasted black fruits come with an overriding peppery note and a touch of heat, but overall the wine is sturdy, flavorful and balanced.",Reserva,88,12,Colchagua Valley,NA,NA,Michael Schachner,@wineschach,MontGras 2010 Reserva Cabernet Sauvignon-Syrah (Colchagua Valley),Cabernet Sauvignon-Syrah,MontGras
41584,France,"This is a wine that is almost mature. With generous black fruits and tannins that are integrated into the texture, the wine is ripe and fruity. The acidity is still there, giving a crisp aftertaste. Drink now.",NA,86,17,Bordeaux,Bordeaux,NA,Roger Voss,@vossroger,Château Laubès 2010  Bordeaux,Bordeaux-style Red Blend,Château Laubès
92515,Italy,"Aromas of underbrush, baked plum, pipe tobacco and dark cooking spice emerge on this concentrated red. The dense and structured palate displays dried black cherry, ripe blackberry, raisin, licorice and cinnamon alongside velvety tannins. Drink through 2024.",Il Bosco,93,90,Veneto,Amarone della Valpolicella Classico,NA,Kerin O’Keefe,@kerinokeefe,Cesari 2009 Il Bosco  (Amarone della Valpolicella Classico),Red Blend,Cesari
20709,Austria,"There is a citrus purity on the nose that suggests fresh lemon juice, but it is tempered by some spice, like that of still-green Seville orange rind. The palate is streamlined and equally pure, it has an almost cleansing quality. This is luminous and delicious and slips down far too easily.",Heiligenstein Reserve,92,53,Kamptal,NA,NA,Anne Krebiehl MW,@AnneInVino,Schloss Gobelsburg 2014 Heiligenstein Reserve Riesling (Kamptal),Riesling,Schloss Gobelsburg
67966,Italy,"A blend of Sangiovese and 7% Canaiolo, this bright red opens with pretty aromas of violet, woodland berry and a whiff of baking spice. The vibrant palate offers tart cherry, black raspberry and anise alongside sleek tannins and fresh acidity.",NA,89,19,Tuscany,Chianti Classico,NA,Kerin O’Keefe,@kerinokeefe,I Sodi 2013  Chianti Classico,Red Blend,I Sodi
96026,Australia,"A well-balanced and medium-bodied offering; pear and other stone fruit flavors dominate the palate, while pear and lemon-lime aromas harmonize on the nose. Finishes with drying chalk and mineral notes. A solid, flavorful wine.",NA,88,13,South Australia,Coonawarra,NA,NA,NA,Wynns Coonawarra Estate 2002 Chardonnay (Coonawarra),Chardonnay,Wynns Coonawarra Estate
121945,US,"Thickly concentrated at first, this wine settles in the glass to share a wealth of juicy black-cherry flavor that's impressively accented in black tea and cola spice. Medium bodied, it feels sublime on the palate and holds its ripeness in check, allowing a simmering acidity to speak.",Bella Una,95,80,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Benovia 2014 Bella Una Pinot Noir (Russian River Valley),Pinot Noir,Benovia
21909,US,"This barrel-forward (60% new French oak), 100% varietal wine offers notes of vanilla, pencil lead and wood spices along with cherry and herb accents. The smooth flavors are etched by tart acids, with grainy, dry tannins rounding it out.",NA,89,50,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Carden 2011 Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Carden
107397,US,"Cass has been focusing on Bordeaux reds in Paso Robles; their Cab Franc has been very good, and this Cabernet Sauvignon is better. It shows its warm origins in very ripe fruit flavors of blackberries, currants and chocolate, but the structure is enlivened with fine acidity and rich, dusty tannins. Delicious and dry, it shows an elegance that makes it irresistible.",NA,90,42,California,Paso Robles,Central Coast,NA,NA,Cass 2005 Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,Cass
83946,France,"Guigal's flagship Condrieu is always flashy, fleshy and opulent, and the 2015 is no slouch in those areas. Hints of toast and vanilla accent apricot-laden fruit, while subtle spice shadings linger on the long, mouthwatering finish. Drink now–2020.",La Doriane,94,135,Rhône Valley,Condrieu,NA,Joe Czerwinski,@JoeCz,E. Guigal 2015 La Doriane  (Condrieu),Viognier,E. Guigal
31845,US,"Usually this block is at the top of the offerings from Coeur de Terre, but a leathery aroma and dried-out fruit knock it down in this vintage. Earth, cola, mint, a hint of cherry and a pleasant spiciness are also there, but the saddle leather dominates. Two bottles tasted.",Renelle's Block Reserve,86,58,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Coeur de Terre 2010 Renelle's Block Reserve Pinot Noir (Willamette Valley),Pinot Noir,Coeur de Terre
42070,Italy,"Made with Sangiovese and small amounts of Colorino and Mammolo, this Vino Nobile riserva offers berry and cinnamon aromas with hints of oak. The palate delivers ripe cherry layered with chocolate and vanilla but the tannins and acidity are already evolved so drink soon.",Riserva,88,NA,Tuscany,Vino Nobile di Montepulciano,NA,Kerin O’Keefe,@kerinokeefe,Fattoria Del Cerro 2007 Riserva  (Vino Nobile di Montepulciano),Red Blend,Fattoria Del Cerro
45792,US,"Green olive, green stem and fresh herb aromas are at the fore, with cured meat, peat, smoke and mineral notes close behind. The palate offers dense fruit and savory flavors that command attention, with smoked meat notes that just won't quit. The balance and length are mesmerizing.",Royal City,96,140,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Charles Smith 2012 Royal City Syrah (Columbia Valley (WA)),Syrah,Charles Smith
82085,Italy,"This 90% Sangiovese, 10% Merlot and 10% Canaiolo Chianti opens with subtle blackberry and moist earth aromas. Morello cherry fruit dominates the palate, accented by baking spice notes and round tannins. Enjoy soon.",NA,86,12,Tuscany,Chianti Colli Senesi,NA,Kerin O’Keefe,@kerinokeefe,Poggio Salvi 2014  Chianti Colli Senesi,Red Blend,Poggio Salvi
54882,US,"The aromas of toast, pear, pineapple and spice are nuanced and reserved. Flavors are light, focused and textured, displaying both varietal and winemaker intent.",Reserve,90,17,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Waterbrook 2013 Reserve Chardonnay (Columbia Valley (WA)),Chardonnay,Waterbrook
11193,France,"From vines owned by the Chanson family, this is a wonderfully rich wine, deliciously fruity at the same time. Apple and citrus as well as richer apricots come through powerfully. It's structured with a sense of opulence, richness that also has a tight texture. It needs to age; drink from 2019.",Héritiers Paul Chanson,95,187,Burgundy,Corton Vergennes,NA,Roger Voss,@vossroger,Domaine Chanson 2011 Héritiers Paul Chanson  (Corton Vergennes),Chardonnay,Domaine Chanson
15367,France,"This is tight, crisp and herbaceous, dominated by Sauvignon Blanc. A mineral character gives a firm texture. It needs to age a few months, so drink from 2015.",Léo de la Gaffelière,86,14,Bordeaux,Bordeaux Blanc,NA,Roger Voss,@vossroger,Maison Malet Roquefort 2013 Léo de la Gaffelière  (Bordeaux Blanc),Bordeaux-style White Blend,Maison Malet Roquefort
45389,Italy,"Made entirely with Sangiovese, this brisk wine has subtle aromas of violet and clove. The vigorous palate doles out strawberry, cinnamon and a hint of orange peel alongside raspy, rather fleeting tannins. Drink soon.",NA,86,NA,Tuscany,Toscana,NA,Kerin O’Keefe,@kerinokeefe,Fattoria La Vialla 2015 Sangiovese (Toscana),Sangiovese,Fattoria La Vialla
9912,South Africa,"Only 95 cases were made of this Bordeaux-style blend of 43% Cabernet Sauvignon, 33% Malbec and 24% Cabernet Franc. It's a stellar example of the high-end and highly cellarable wines that can come out of South Africa, oozing with depth, concentration and complexity, all in a harmonious, balanced package. It's dark and brooding right off the bat, boasting firm, tight blackberry, cherry and cassis fruit that's coupled with hints of raspberry sauce, pressed violets and baking spice. The palate is strong and packed with black fruit flavors that lead into a long, evolving finish of char, espresso bean, cigar and woodspice. Firmly structured and robust in feel, try from 2022–2028, though it could mature well even beyond.",Book 17 XVII,95,330,Stellenbosch,NA,NA,Lauren Buzzeo,@laurbuzz,De Toren 2014 Book 17 XVII Red (Stellenbosch),Bordeaux-style Red Blend,De Toren
40358,US,"This wine offers immediate appeal, opening with aromas of black olive, funk, flowers and moist earth. It does not disappoint, with soft fruit and savory flavors that coat the palate. Meaty flavors add to the enjoyment and the balance is spot on.",NA,92,32,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Saviah 2013 Syrah (Walla Walla Valley (WA)),Syrah,Saviah
43034,South Africa,"Graphite, char, vanilla bean and cedar plank lay atop the black berry and plum preserve fruit core on the nose. The palate is creamy and mouthfilling at first, offering rich notes of vanilla-infused stewed berries and raspberry sauce that are then overwhelmed by aggressive, green tannins that hold the palate hostage through the long, woody finish.",The Bernard Series Bush Vine,87,35,Coastal Region,NA,NA,Lauren Buzzeo,@laurbuzz,Bellingham 2013 The Bernard Series Bush Vine Pinotage (Coastal Region),Pinotage,Bellingham
63034,US,"Satisfies the Chardonnay sweet tooth, with vanilla, buttered toast and jammy apricot, orange, lime and honey flavors. There's good Central Coast acidity for balance.",NA,85,24,California,Monterey County,Central Coast,NA,NA,Bernardus 2011 Chardonnay (Monterey County),Chardonnay,Bernardus
85871,Argentina,"Cola and minty, herbal aromas come with raw oak and gritty, baked berry scents. This is rugged, tannic and grabby on the palate, with heavy wood resin flavors heaped atop blackberry and plum. Woodspice and heat drive the finish.",Colección,87,18,Mendoza Province,Mendoza,NA,Michael Schachner,@wineschach,Gardel 2012 Colección Bonarda (Mendoza),Bonarda,Gardel
63090,France,"A light and fruity wine that's been spoiled by a touch of sulfur. Aside from that bitter edge, the wine shows attractive apple and citrus flavors.",Fraîcheur Perlé,84,14,Southwest France,Gaillac,NA,Roger Voss,@vossroger,Domaine la Croix des Marchands 2012 Fraîcheur Perlé White (Gaillac),White Blend,Domaine la Croix des Marchands
67459,Italy,"Classically crafted, this impressive wine opens with alluring Nebbiolo aromas of mature dark berry, pine forest, leather, aromatic herb, baking spice and an earthy whiff of game. The full-bodied palate delivers juicy wild cherry, black raspberry, licorice, clove and tobacco alongside firm, refined tannins. It's already tempting but hold to let it fully develop. Drink 2018–2031.",Sorano,94,46,Piedmont,Barolo,NA,Kerin O’Keefe,@kerinokeefe,San Biagio 2011 Sorano  (Barolo),Nebbiolo,San Biagio
46521,France,"Fruity and ripe, this is a tight, very fresh wine. The crispest apples and brightest lemon give a refreshing shock to the palate. The wine should probably age for a few years, so drink after 2014.",Cuvée René Dopff,87,NA,Alsace,Alsace,NA,Roger Voss,@vossroger,Dopff & Irion 2012 Cuvée René Dopff Riesling (Alsace),Riesling,Dopff & Irion
77846,Chile,"Rustic aromas of baked berry fruits, black olive, herbs and eucalyptus lead to a forward, fairly tannic palate. An herbal flavor profile includes olive, blackberry, plum and spice notes, while the finish on this Cabernet-led blend tastes peppery and herbal, which is nothing unusual for Chile. Drink through 2020.",Unique Selection,91,50,Colchagua Valley,NA,NA,Michael Schachner,@wineschach,Siegel 2012 Unique Selection Red (Colchagua Valley),Red Blend,Siegel
101179,Portugal,"The main estate wine from Chocapalha, this is firm, with a beautiful balance between tannins and fruit. Blackberry and wood-derived spice notes are cut with acidity. It's elegant and ready to drink.",NA,91,18,Lisboa,NA,NA,Roger Voss,@vossroger,Quinta de Chocapalha 2012 Red (Lisboa),Portuguese Red,Quinta de Chocapalha
64257,US,"What a great Sierra Foothills mountain Zin. It's big, dry and brawny, with thick, sticky tannins that call for rich beef dishes. But it's also balanced. The official alcohol is below 14%, and the blackberry, currant, leather, tobacco and baker's chocolate flavors are streaked with nutmeg,cinnamon, anise and pepper spice.",NA,91,22,California,Sierra Foothills,Sierra Foothills,NA,NA,Stevenot 2006 Zinfandel (Sierra Foothills),Zinfandel,Stevenot
23771,France,"The nose gives little away but the palate holds red, rounded fruit diffused by frothy, lively fizz. The foamy bubbles spell exuberance and easy-drinking enjoyment. Dry, light and rounded, this is a perfect party wine in a most appealing shade of coppery pink.",Rosé,89,23,Alsace,Crémant d'Alsace,NA,Anne Krebiehl MW,@AnneInVino,Ruhlmann NV Rosé Sparkling (Crémant d'Alsace),Sparkling Blend,Ruhlmann
78994,US,"Soft scents of apple sauce, currant bud, baby's breath and white nectarine mark this Sauvignon Blanc. It has impressive midpalate density, with coddling acids and a taste of Asian pear on the finish.",NA,85,25,Colorado,Colorado,NA,NA,NA,Sutcliffe 2012 Sauvignon Blanc (Colorado),Sauvignon Blanc,Sutcliffe
81915,US,"Lots going on in this mountain-grown wine. It's perfectly dry and strong in tannins, with an elusive quality of excellence that testifies to the best terroir. Showing blackberry, black cherry, mineral and oak flavors, it should develop bottle complexity for at least the next decade.",La Muse,94,260,California,Sonoma County,Sonoma,NA,NA,Verité 2006 La Muse Red (Sonoma County),Bordeaux-style Red Blend,Verité
93813,Chile,"The pineapple and lemon aromas and flavors in this wine just seem to lack the spark to make them come alive. There's a medium texture on the palate but the subdued, uninspired quality extends to the mouthfeel as well. A reserve label deserves more substance.",Prima Reserva,82,13,Maipo Valley,NA,NA,NA,NA,De Martino 1999 Prima Reserva Chardonnay (Maipo Valley),Chardonnay,De Martino
5058,US,"Coming in at 12.8% alcohol—nearly unheard of for a Washington red, particularly in a warm vintage—it brings appealing notes of dark plum accented by black pepper and dried herbs. It's silky soft in feel with a dazzling sense of texture and purity with little apparent oak influence.",Dineen Vineyard,91,27,Washington,Rattlesnake Hills,Columbia Valley,Sean P. Sullivan,@wawinereport,Savage Grace 2013 Dineen Vineyard Malbec (Rattlesnake Hills),Malbec,Savage Grace
118919,Italy,"This is good example of the potential of Calabria's Greco Bianco grape. The wine is crisp and fresh and bursting with enticing notes of fruit, honey and mineral. You'll get citrus tones followed by cleansing flavors of lime and grapefruit.",NA,85,21,Southern Italy,Calabria,NA,NA,NA,Statti 2007 Greco Bianco (Calabria),Greco Bianco,Statti
112941,France,"Crisp and taut, this Lobre family wine is on a tight rope. It balances between intense citrus acidity and riper apricot and pear favors. It will be better from late 2017.",NA,87,12,Bordeaux,Bordeaux Blanc,NA,Roger Voss,@vossroger,Château de l'Aubrade 2016  Bordeaux Blanc,Bordeaux-style White Blend,Château de l'Aubrade
63555,US,"Though 28 g/L of residual sugar is indicated, this lushly fruity and thoroughly delicious wine does not seem at all sweet, and just barely off dry. Peaches and pears combine in a lightly spicy but intensely flavorful wine with a myriad of food pairing possibilities, notably Thai noodle dishes, or poultry with a fruit sauce.",Estate,90,18,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,David Hill 2014 Estate Gewürztraminer (Willamette Valley),Gewürztraminer,David Hill
92376,US,"This estate wine is puckering in dry, lengthy tannins and extracted fruit, a leathery texture in the way of further exploration. Mint and cedar season the power and concentration.",Papa's Knoll Estate,84,45,California,St. Helena,Napa,Virginie Boone,@vboone,Buehler 2013 Papa's Knoll Estate Cabernet Sauvignon (St. Helena),Cabernet Sauvignon,Buehler
111245,Portugal,"The wine is undeniably rich, but it wears its richness easily, allowing the fruitiness to show through. With hints of wood aging, spice as well as peach and ripe apricot fruits, it is full of potential. Drink from 2015.",Colheita Seleccionada,89,14,Alentejano,NA,NA,Roger Voss,@vossroger,Herdade das Servas 2012 Colheita Seleccionada Red (Alentejano),Portuguese Red,Herdade das Servas
87718,US,"So rich and appealing now in blackberry, currant and bitter dark chocolate flavors, it's drinkable now despite some hefty tannins. Shows the class and elegance you expect from this estate. Give it a few hours of decanting to let it mellow as much as it's going to.",Blueprint,90,55,California,Napa Valley,Napa,NA,NA,Lail 2009 Blueprint Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Lail
8046,Chile,"Red-fruit aromas are spicy and fresh, as is the palate, which offers some weight and body along with strawberry, pepper and sweet oak flavors. On the finish, it's peppery but a bit hot.",Cefiro Reserva,86,12,Casablanca Valley,NA,NA,Michael Schachner,@wineschach,Viña Casablanca 2013 Cefiro Reserva Pinot Noir (Casablanca Valley),Pinot Noir,Viña Casablanca
5162,Spain,"A little gritty and tough on the nose, with hard strawberry and kirsch aromas. The palate is voluminous and foamy, with flavors of burnt blood orange and grilled pink grapefruit. Yes, there's a hard, burnt element to the wine, but this being Pinot Noir from Penedès that's to be expected.",Brut Rosé,87,18,Catalonia,Cava,NA,Michael Schachner,@wineschach,Juvé y Camps NV Brut Rosé Pinot Noir (Cava),Pinot Noir,Juvé y Camps
4599,US,"This 100% Viognier shows the variety's exotic side, with delicious tropical fruit, citrus, pear, melon, lychee and smoky oak flavors. It's a bit one-dimensional, but appeals for its fresh acids and richness.",Saralee's Vineyard,87,30,California,Russian River Valley,Sonoma,NA,NA,Arrowood 2008 Saralee's Vineyard Viognier (Russian River Valley),Viognier,Arrowood
45903,France,"A blend of 60% Chardonnay, 30% Chenin Blanc and 10% Mauzac, this is a bright and lively white, with attractive aromas of white flower, clover, pear flesh and lightly grilled peach. The medium-weight palate is remarkably balanced, with ample acidity to lift the ripe apple, pear and citrus flavors, finishing with a kiss of sweet spice.",Le Limoux,89,18,Languedoc-Roussillon,Limoux,NA,Lauren Buzzeo,@laurbuzz,Château Rives-Blanques 2015 Le Limoux White (Limoux),White Blend,Château Rives-Blanques
113170,US,"This is a fresh-tasting, dry bubbly whose aromas and flavors are very appley, herbal and effusive, accented by hints of clove. While crisp on the first sip, it feels reasonably soft and smooth on the tongue, and the fine bubbles are easy to sip and swallow.",NA,87,14,California,California,California Other,Jim Gordon,@gordone_cellars,Finke's Widow 2016 Sparkling (California),Sparkling Blend,Finke's Widow
82006,US,"Bitter lime peel and an elegant steeliness give structure to the sweet, fresh apples that dominate this off-dry style Riesling. Bright lemon-lime acidity leads to a mouthwatering pucker on the finish.",Semi-Dry,87,13,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,NA,Lamoreaux Landing 2009 Semi-Dry Riesling (Finger Lakes),Riesling,Lamoreaux Landing
18290,US,"Rich black-cherry, currant, licorice, spice and sandalwood flavors abound in this dry Merlot. It's pretty tannic, with a gum-sticking astringency. It's unlikely that this will age well, so drink it now, after decanting, and pair it with rich meats.",NA,88,38,California,Oakville,Napa,NA,NA,Swanson 2009 Merlot (Oakville),Merlot,Swanson
71835,US,"The nose on this dry, medium-bodied wine is fairly neutral, with subdued aromas of lemon, lime and apple. On the palate, however, it's exuberantly floral with notes of orange blossom and white peaches accented with lime zest and acidity. Finishes long with reverberating mineral tones.",NA,90,16,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,NA,Damiani 2012 Riesling (Finger Lakes),Riesling,Damiani
1033,US,"Sea salt, Bosc pear, apple cider, squeezed lemon and shreds of vanilla frame a leaner nose on this wine from mid-Monterey County. The cider element carries to the rather pungent palate, proving quite high-toned and acidic with some minerality, grapefruit peel grip and long-lasting vibrancy on the finish.",NA,88,22,California,Arroyo Seco,Central Coast,Matt Kettmann,@mattkettmann,Ventana 2013 Chardonnay (Arroyo Seco),Chardonnay,Ventana
3052,US,"This blend of Cabernet Sauvignon, Merlot and Malbec is a steal, offering a robust touch of char on the front end aromatically before unleashing bright red fruit and soft tannin. Ultimately light bodied, it retains just the right amount of grippy tannin to give it some bite.",Top Rail,88,16,California,Sonoma County,Sonoma,Virginie Boone,@vboone,Picket Fence 2014 Top Rail Red (Sonoma County),Red Blend,Picket Fence
25395,France,"Crisp, tight acidity and still-young, fresh fruitiness give this wine its initial brightness. Rich and full in the mouth, it also has a range of complex fruit flavors followed by hints of toastiness that will only continue to develop. It should be aged further, so drink from 2016.",Millesime Brut,94,60,Champagne,Champagne,NA,Roger Voss,@vossroger,H. Blin 2006 Millesime Brut  (Champagne),Champagne Blend,H. Blin
22254,France,"Pale in color, this is a fruity slightly herbal wine. It has plenty of young fruit and crisp acidity, lively and with an attractively spicy aftertaste. Drink now.",NA,88,20,Provence,Côtes de Provence Sainte-Victoire,NA,Roger Voss,@vossroger,Château Coussin 2016 Rosé (Côtes de Provence Sainte-Victoire),Rosé,Château Coussin
2108,Italy,"This delicious Chardonnay offers creamy opulence and rich notes of vanilla, honey and peach. It has dense, slightly sweet, fruit flavors lavished over good structure and ends with spicy crispness. Pair it with white meat or pasta salad.",Chardonnay,87,12,Northeastern Italy,Delle Venezie,NA,NA,NA,Folonari 2007 Chardonnay Chardonnay (Delle Venezie),Chardonnay,Folonari
62784,France,"A parcel of fine red clay in the Bouscassé vineyard is the inspiration behind this wine. That gives both richness and a strongly mineral character that brings out a distinct texture and considerable acidity. The wine is dark, brooding, still with plenty of fresh fruits. Almost ready to drink, it will always have powerful tannins and acidity. Decanting this wine is essential.",Château Bouscassé Argile,93,NA,Southwest France,Madiran,NA,Roger Voss,@vossroger,Alain Brumont 2007 Château Bouscassé Argile Red (Madiran),Red Blend,Alain Brumont
100951,US,"Rich, spicy aromas and flavors of black cherry and cedar make this full-bodied wine from one of the longest-running wineries in California's Sierra Foothills hard to resist. It has a feeling of breadth and depth on the palate alongside lush layers of tasty fruit.",Rocky Top,90,18,California,Amador County,Sierra Foothills,Jim Gordon,@gordone_cellars,Sobon Estate 2014 Rocky Top Zinfandel (Amador County),Zinfandel,Sobon Estate
76001,US,"Syrah and Cabernet Sauvignon are the principal components, with smaller amounts of Cab Franc and Merlot, all from one of the estate vineyards located in the Rocks (Walla Walla's soon-to-be newest sub-AVA). Strongly tannic, its core of cassis fruit is anchored in potent flavors of iron, earth and licorice.",The Buzz Yellow Jacket Vineyard,89,19,Oregon,Walla Walla Valley (OR),Oregon Other,Paul Gregutt,@paulgwine ,Beresan 2010 The Buzz Yellow Jacket Vineyard Red (Walla Walla Valley (OR)),Red Blend,Beresan
